time	I(C1)
2.441411825845750e-08	1.093143e-02
2.460943075845750e-08	3.980729e-04
2.480474325845750e-08	-1.017386e-02
2.500005575845750e-08	-2.062255e-02
2.519536825845751e-08	-3.078769e-02
2.539068075845751e-08	-4.051290e-02
2.558599325845751e-08	-4.964823e-02
2.578130575845751e-08	-5.805238e-02
2.597661825845751e-08	-6.559500e-02
2.617193075845751e-08	-7.215866e-02
2.636724325845751e-08	-7.764068e-02
2.656255575845752e-08	-8.195475e-02
2.675786825845752e-08	-8.503231e-02
2.695318075845752e-08	-8.682360e-02
2.714849325845752e-08	-8.729843e-02
2.734380575845752e-08	-8.648149e-02
2.751838201048587e-08	-8.465406e-02
2.767993151152404e-08	-8.196872e-02
2.787524401152404e-08	-7.756203e-02
2.807055651152404e-08	-7.202274e-02
2.826586901152404e-08	-6.537789e-02
2.846118151152404e-08	-5.772670e-02
2.865649401152405e-08	-4.918391e-02
2.885180651152405e-08	-3.987806e-02
2.904711901152405e-08	-2.994956e-02
2.924243151152405e-08	-1.954852e-02
2.943774401152405e-08	-8.832495e-03
2.963305651152405e-08	2.035946e-03
2.982836901152405e-08	1.289167e-02
3.002368151152405e-08	2.356950e-02
3.021899401152405e-08	3.390679e-02
3.041430651152405e-08	4.374583e-02
3.060961901152404e-08	5.293635e-02
3.080493151152404e-08	6.133772e-02
3.100024401152404e-08	6.882122e-02
3.119555651152404e-08	7.527192e-02
3.139086901152404e-08	8.059049e-02
3.158618151152403e-08	8.469471e-02
3.178149401152403e-08	8.752079e-02
3.197680651152403e-08	8.902426e-02
3.217211901152403e-08	8.918078e-02
3.236743151152403e-08	8.798642e-02
3.256274401152403e-08	8.546747e-02
3.275215702558150e-08	8.177531e-02
3.294746952558150e-08	7.673550e-02
3.314278202558150e-08	7.053773e-02
3.333809452558150e-08	6.326518e-02
3.353340702558149e-08	5.502709e-02
3.372871952558149e-08	4.594745e-02
3.392403202558149e-08	3.616314e-02
3.411934452558149e-08	2.582180e-02
3.431465702558149e-08	1.507970e-02
3.450996952558148e-08	4.099277e-03
3.470528202558148e-08	-6.953297e-03
3.490059452558148e-08	-1.791063e-02
3.509590702558148e-08	-2.860666e-02
3.529121952558148e-08	-3.887917e-02
3.548653202558148e-08	-4.857226e-02
3.568184452558147e-08	-5.753874e-02
3.587715702558147e-08	-6.564229e-02
3.607246952558147e-08	-7.275964e-02
3.626778202558147e-08	-7.878237e-02
3.646309452558147e-08	-8.361857e-02
3.665840702558146e-08	-8.719427e-02
3.685371952558146e-08	-8.945456e-02
