Freq.	V(n001)
4.90000000000000e+08	-6.48776547384564e-04,-1.31569166312973e-03
4.95000000000000e+08	-6.36111302471509e-04,-1.30026281569356e-03
5.00000000000000e+08	-6.23866747373404e-04,-1.28502135119319e-03
5.05000000000000e+08	-6.12291956408379e-04,-1.26975132965929e-03
5.10000000000000e+08	-6.03000959794682e-04,-1.25312067928754e-03
5.15000000000000e+08	-5.78116834480927e-04,-1.25003399739452e-03
5.20000000000000e+08	-5.73389128574906e-04,-1.23062340196352e-03
5.25000000000000e+08	-5.63236770082614e-04,-1.21620328667415e-03
5.30000000000000e+08	-5.52700180886440e-04,-1.20258808169807e-03
5.35000000000000e+08	-5.42260805848971e-04,-1.18941580481179e-03
5.40000000000000e+08	-5.32012926318849e-04,-1.17662791436911e-03
5.45000000000000e+08	-5.21991452915106e-04,-1.16414399702156e-03
5.50000000000000e+08	-5.12188993981022e-04,-1.15194523590639e-03
5.55000000000000e+08	-5.02579464357076e-04,-1.14003838849808e-03
5.60000000000000e+08	-4.77110689038662e-04,-1.12795929690614e-03
5.65000000000000e+08	-4.84071169328347e-04,-1.11715262481151e-03
5.70000000000000e+08	-4.75252840358476e-04,-1.10611806759802e-03
5.75000000000000e+08	-4.66720186903571e-04,-1.09529901396530e-03
5.80000000000000e+08	-4.58459020103499e-04,-1.08461078000468e-03
5.85000000000000e+08	-4.50455065091539e-04,-1.07407560321381e-03
5.90000000000000e+08	-4.42715257847911e-04,-1.06365295722356e-03
5.95000000000000e+08	-4.35321744150013e-04,-1.05328199088220e-03
6.00000000000000e+08	-4.28856901151712e-04,-1.04286121138784e-03
6.05000000000000e+08	-4.30245977825526e-04,-1.03029183027999e-03
6.10000000000000e+08	-4.04368744549624e-04,-1.02579015816248e-03
6.15000000000000e+08	-4.00215319561116e-04,-1.01511266361349e-03
6.20000000000000e+08	-3.93212457188633e-04,-1.00553333193699e-03
6.25000000000000e+08	-3.85691415903855e-04,-9.96451801659727e-04
6.30000000000000e+08	-3.77931874132349e-04,-9.87715774213027e-04
6.35000000000000e+08	-3.69915168574256e-04,-9.79219671778661e-04
6.40000000000000e+08	-3.61287090075282e-04,-9.70870629356103e-04
6.45000000000000e+08	-3.51026496432244e-04,-9.62350534382462e-04
6.50000000000000e+08	-3.32217631936032e-04,-9.50588606622688e-04
6.55000000000000e+08	-3.82874607580331e-04,-9.73480107574227e-04
6.60000000000000e+08	-3.49154101667273e-04,-9.55700993101021e-04
6.65000000000000e+08	-3.42369301626041e-04,-9.49419666044023e-04
6.70000000000000e+08	-3.39288719218752e-04,-9.42324393009020e-04
6.75000000000000e+08	-3.36390763932059e-04,-9.33799560404783e-04
6.80000000000000e+08	-3.32638859391948e-04,-9.24797185558241e-04
6.85000000000000e+08	-3.28107597442309e-04,-9.16073942361333e-04
6.90000000000000e+08	-3.23140151798939e-04,-9.07934410349422e-04
6.95000000000000e+08	-3.18109094550691e-04,-9.00433639102803e-04
7.00000000000000e+08	-4.25867196585508e-04,-2.23033387987822e-04
7.05000000000000e+08	-3.08429845972902e-04,-8.86843262878484e-04
7.10000000000000e+08	-3.03865975563065e-04,-8.80677459639578e-04
7.15000000000000e+08	-2.99598480990973e-04,-8.74971802409989e-04
7.20000000000000e+08	-2.95866761710987e-04,-8.69733973505937e-04
7.25000000000000e+08	-2.92972863063437e-04,-8.64800778154022e-04
7.30000000000000e+08	-2.91197186004524e-04,-8.59659676075138e-04
7.35000000000000e+08	-2.90214767892358e-04,-8.53473374910193e-04
7.40000000000000e+08	-2.88447596419938e-04,-8.46368947691576e-04
7.45000000000000e+08	-2.82415220941149e-04,-8.46797475426373e-04
7.50000000000000e+08	-2.84263143695680e-04,-8.19122657934750e-04
7.55000000000000e+08	-2.78209393183802e-04,-8.15393908910138e-04
7.60000000000000e+08	-2.73073283879517e-04,-8.09601433685940e-04
7.65000000000000e+08	-2.68292848997232e-04,-8.03811525125770e-04
7.70000000000000e+08	-2.63751566511994e-04,-7.98184938872810e-04
7.75000000000000e+08	-2.59334294153877e-04,-7.92728574231841e-04
7.80000000000000e+08	-2.54888404628476e-04,-7.87496145682207e-04
7.85000000000000e+08	-2.50014157859613e-04,-7.82647499857257e-04
7.90000000000000e+08	-2.42068307560061e-04,-7.79286191376357e-04
7.95000000000000e+08	-2.60022337393665e-04,-7.64802706465136e-04
8.00000000000000e+08	-2.45835484834196e-04,-7.64457105838203e-04
8.05000000000000e+08	-2.40986673400379e-04,-7.60223203666712e-04
8.10000000000000e+08	-2.37213672936434e-04,-7.55645104397107e-04
8.15000000000000e+08	-2.33817946706206e-04,-7.51006485935075e-04
8.20000000000000e+08	-2.30625480935802e-04,-7.46357981408834e-04
8.25000000000000e+08	-2.27564805967853e-04,-7.41763952524101e-04
8.30000000000000e+08	-2.24640895239410e-04,-7.37238680846067e-04
8.35000000000000e+08	-2.21863325111988e-04,-7.32755719245576e-04
8.40000000000000e+08	-2.30592249629423e-04,-7.28688035634108e-04
8.45000000000000e+08	-2.16581700933391e-04,-7.23772552060087e-04
8.50000000000000e+08	-2.13955961341109e-04,-7.19298831498637e-04
8.55000000000000e+08	-2.11326559446270e-04,-7.14890698634893e-04
8.60000000000000e+08	-2.08697034180974e-04,-7.10617196723324e-04
8.65000000000000e+08	-2.06074505278689e-04,-7.06449328762148e-04
8.70000000000000e+08	-2.03432851918694e-04,-7.02411645687336e-04
8.75000000000000e+08	-2.00670031403936e-04,-6.98539166452685e-04
8.80000000000000e+08	-1.97219356507760e-04,-6.94950174343430e-04
8.85000000000000e+08	-1.86333005291537e-04,-6.93366149284451e-04
8.90000000000000e+08	-2.02168012588139e-04,-6.85366069744857e-04
8.95000000000000e+08	-1.97099479058282e-04,-6.82685948910094e-04
9.00000000000000e+08	-1.95015041237082e-04,-6.79285060022897e-04
9.05000000000000e+08	-1.93641967339131e-04,-6.75634802759595e-04
9.10000000000000e+08	-1.92673308180870e-04,-6.71882515088620e-04
9.15000000000000e+08	-1.92136746247176e-04,-6.68144949118772e-04
9.20000000000000e+08	-1.92381798424408e-04,-6.64552073798316e-04
9.25000000000000e+08	-1.94480716409292e-04,-6.61487231714682e-04
9.30000000000000e+08	-2.05685786450079e-04,-6.62401906190300e-04
9.35000000000000e+08	-1.44801674106746e-04,-6.26027303951026e-04
9.40000000000000e+08	-1.72465572496515e-04,-6.34422605794929e-04
9.45000000000000e+08	-1.72739817515771e-04,-6.30231351081990e-04
9.50000000000000e+08	-1.69513717243266e-04,-6.26448774359653e-04
9.55000000000000e+08	-1.66027315906414e-04,-6.23874321718697e-04
9.60000000000000e+08	-1.63257874831188e-04,-6.21819566480610e-04
9.65000000000000e+08	-1.61212799208002e-04,-6.19672983777455e-04
9.70000000000000e+08	-1.59636091920107e-04,-6.17173016242638e-04
9.75000000000000e+08	-1.58209156917320e-04,-6.14259618305660e-04
